question,article,answer
"What is translate for the Sanskrit word ""bitumen""?",articles\181.txt,"The expression ""bitumen"" originated in the Sanskrit, where we find the words jatu, meaning ""pitch,"" and jatu-krit, meaning ""pitch creating"", ""pitch producing"" (referring to coniferous or resinous trees)."
During what period was bitumen used in printing processes?,articles\181.txt,"Many hours of exposure in the camera were required, making bitumen impractical for ordinary photography, but from the 1850s to the 1920s it was in common use as a photoresist in the production of printing plates for various photomechanical printing processes."
Who referred to culture as a cultivation of individuals?,articles\297.txt,"For Georg Simmel (1858–1918), culture referred to ""the cultivation of individuals through the agency of external forms which have been objectified in the course of history""."
What did Alan Blumlein invent?,articles\282.txt,"The ultimately dominant ""45/45"" stereophonic record system was invented by Alan Blumlein of EMI in 1931 and patented the same year."
When did the bureau announce Robert Hanssen's arrest?,articles\151.txt,"On 20 February 2001, the bureau announced that a special agent, Robert Hanssen (born 1944) had been arrested for spying for the Soviet Union and then Russia from 1979 to 2001."
What is the Swiss private-public managed road network funded by?,articles\247.txt,Swiss private-public managed road network is funded by road tolls and vehicle taxes.
What is the biggest lake in Switzerland?,articles\247.txt,"The largest lake is Lake Geneva, in western Switzerland shared with France."
What century had forgotten early comics forms rediscovered?,articles\58.txt,"Towards the close of the 20th century, different cultures' discoveries of each other's comics traditions, the rediscovery of forgotten early comics forms, and the rise of new forms made defining comics a more complicated task."
When did Marvel withdraw from the Comics Code Authority?,articles\220.txt,"In 2001, Marvel withdrew from the Comics Code Authority and established its own Marvel Rating System for comics."
What is Marvel's most successful book?,articles\220.txt,"This applied to The Amazing Spider-Man title in particular, which turned out to be Marvel's most successful book."
Who established Audiophile Records?,articles\282.txt,"One of the first attempts at this was in the 1950s, when inventor Ewing Dunbar Nunn founded the label Audiophile Records, which released, in addition to standard 33 1/3 rpm LPs, 78 rpm-mastered albums that were microgroove and pressed on vinyl (as opposed to traditional 78s, with their shellac composition and wider 3-mil sized grooves)."
What aided in records sales in the 1950s?,articles\282.txt,"In 2014, the sale of vinyl records was the only physical music medium with increasing sales with relation to the previous year."
What agency advanced DNA testing?,articles\151.txt,"The FBI Laboratory helped develop DNA testing, continuing its pioneering role in identification that began with its fingerprinting system in 1924."
When did Filiberto Ojeda Ríos die?,articles\151.txt,"In 2005, fugitive Puerto Rican Nationalist leader Filiberto Ojeda Ríos died in a gun battle with FBI agents in 2005 in what some charged was an assassination."
What did the shramana movements confront?,articles\304.txt,Increasing urbanisation of India in 7th and 6th centuries BCE led to the rise of new ascetic or shramana movements which challenged the orthodoxy of rituals.
Who helped Bell start hydrofoils experiment?,articles\56.txt,"Although Bell was, and still is, accused of stealing the telephone from Gray, Bell used Gray's water transmitter design only after Bell's patent had been granted, and only as a proof of concept scientific experiment, to prove to his own satisfaction that intelligible ""articulate speech"" (Bell's words) could be electrically transmitted."
What is expected to have a consequence on migration timing?,articles\109.txt,"Large scale climatic changes, as have been experienced in the past, are expected to have an effect on the timing of migration."
What free flying sports event did Brasilia hold in 2003?,articles\428.txt,"In 2003, Brasília hosted the 14th Hang Gliding World Championship, one of the categories of free flying."
What was the most serious instance of child labour?,articles\273.txt,"In European history when child labour was common, as well as in contemporary child labour of modern world, certain cultural beliefs have rationalised child labour and thereby encouraged it."
What caused child labour to decrease in Vietnam?,articles\273.txt,"Edmonds suggests, even in contemporary times, the incidence of child labour in Vietnam has rapidly reduced following economic reforms and GDP growth."
In what year did the Bell family move to London?,articles\56.txt,"""[N 7] In 1865, when the Bell family moved to London, Bell returned to Weston House as an assistant master and, in his spare hours, continued experiments on sound using a minimum of laboratory equipment."
Who did Bell marry in 1877?,articles\56.txt,"[N 19] On July 11, 1877, a few days after the Bell Telephone Company was established, Bell married Mabel Hubbard (1857–1923) at the Hubbard estate in Cambridge, Massachusetts."
What style of gardens did Roberto Burle Marx design?,articles\428.txt,The Brazilian landscape architect Roberto Burle Marx designed landmark modernist gardens for some of the principal buildings.
What is Brasilia's per capita GDP?,articles\247.txt,The nominal per capita GDP is higher than those of the larger Western and Central European economies and Japan.
What can peer pressure influence?,articles\196.txt,"In addition, peer pressure influences clothing choice."
What is the name of lateral-cut disc records?,articles\282.txt,"By 1919 the basic patents for the manufacture of lateral-cut disc records had expired, opening the field for countless companies to produce them."
What is the goal of the NIBRS?,articles\151.txt,Specific facts about these offenses are gathered and reported in the NIBRS system.
Who killed Filiberto Ojeda Ríos?,articles\151.txt,"In 2005, fugitive Puerto Rican Nationalist leader Filiberto Ojeda Ríos died in a gun battle with FBI agents in 2005 in what some charged was an assassination."
Who designed the learning buildings at Eton?,articles\288.txt,"Eton also observes St. Andrew's Day, on which the Eton wall game is played."
What compound was discovered to induce sleep?,articles\179.txt,"The discovery was patented and licensed to Bayer pharmaceuticals, which marketed the compound under the trade name Veronal as a sleep aid beginning in 1904."
